"","County","Tornados"
"8","Carroll",1048
"9","Cass",1017
"3","Bond",1015
"1","Adams",959
"50","LaSalle",945
"5","Brown",929
"16","Cook",924
"6","Bureau",920
"13","Clay",920
"14","Clinton",906
"2","Alexander",888
"20","DeWitt",874
"10","Champaign",868
"36","Henderson",854
"11","Christian",836
"23","Edgar",818
"62","Marshall",815
"37","Henry",808
"18","Cumberland",800
"25","Effingham",797
"57","McLean",795
"7","Calhoun",794
"21","Douglas",776
"29","Fulton",776
"24","Edwards",774
"49","Lake",761
"53","Livingston",760
"19","DeKalb",753
"52","Lee",751
"34","Hancock",750
"42","Jersey",732
"61","Marion",731
"35","Hardin",729
"38","Iroquois",728
"63","Mason",717
"39","Jackson",716
"26","Fayette",712
"17","Crawford",705
"55","McDonough",702
"45","Kane",701
"33","Hamilton",700
"54","Logan",700
"41","Jefferson",698
"4","Boone",697
"56","McHenry",694
"40","Jasper",693
"28","Franklin",691
"32","Grundy",691
"51","Lawrence",691
"30","Gallatin",681
"15","Coles",677
"46","Kankakee",677
"48","Knox",675
"44","Johnson",671
"31","Greene",670
"58","Macon",662
"60","Madison",661
"47","Kendall",654
"43","JoDaviess",651
"27","Ford",650
"22","DuPage",629
"12","Clark",613
"64","Massac",592
"67","Monroe",542
"73","Perry",528
"65","Menard",508
"70","Moultrie",501
"84","Sangamon",483
"59","Macoupin",477
"66","Mercer",472
"79","Randolph",470
"68","Montgomery",458
"74","Piatt",439
"72","Peoria",435
"69","Morgan",426
"71","Ogle",424
"76","Pope",420
"75","Pike",406
"77","Pulaski",388
"82","StClair",381
"78","Putnam",370
"91","Union",350
"101","Winnebago",331
"90","Tazewell",330
"85","Schuyler",316
"92","Vermilion",304
"83","Saline",303
"81","RockIsland",299
"87","Shelby",298
"95","Washington",298
"80","Richland",296
"89","Stephenson",261
"93","Wabash",243
"96","Wayne",234
"86","Scott",232
"88","Stark",228
"98","Whiteside",218
"99","Will",203
"94","Warren",190
"102","Woodford",173
"97","White",167
"100","Williamson",145
